,Date
355,2021-02-02
356,2021-02-02
357,2021-02-02
358,2021-02-02
359,2021-02-02
360,2021-01-31
361,2021-02-01
362,2021-02-01
363,2021-02-01
364,2021-02-01
365,2021-02-01
366,2021-02-01
367,2021-02-01
368,2021-02-01
369,2021-02-01
370,2021-02-01
371,2021-02-01
372,2021-02-01
373,2021-02-01
374,2021-02-01
375,2021-02-01
376,2021-02-01
377,2021-02-01
378,2021-02-01
379,2021-02-01
380,2021-02-01
381,2021-02-01
382,2021-02-01
383,2021-02-01
384,2021-02-01
385,2021-02-01
386,2021-02-01
387,2021-02-01
388,2021-02-01
389,2021-02-01
390,2021-02-01
391,2021-02-01
392,2021-02-01
393,2021-02-01
394,2021-02-01
395,2021-02-01
396,2021-02-01
397,2021-02-01
398,2021-02-01
399,2021-02-01
400,2021-02-01
401,2021-02-01
402,2021-02-01
403,2021-02-01
404,2021-02-01
405,2021-02-01
406,2021-02-01
407,2021-02-01
408,2021-02-01
409,2021-02-01
410,2021-02-01
411,2021-02-01
412,2021-02-01
413,2021-02-01
414,2021-02-01
415,2021-02-01
416,2021-02-01
417,2021-02-01
418,2021-02-01
419,2021-02-01
420,2021-02-01
421,2021-02-01
422,2021-02-01
423,2021-02-01
424,2021-02-01
425,2021-02-01
426,2021-02-01
427,2021-02-01
428,2021-02-01
429,2021-02-01
430,2021-02-01
431,2021-02-01
432,2021-02-01
433,2021-02-01
434,2021-02-01
435,2021-02-01
436,2021-02-01
437,2021-02-01
438,2021-02-01
439,2021-02-01
440,2021-02-01
441,2021-02-01
442,2021-02-01
443,2021-02-01
444,2021-02-01
445,2021-02-01
446,2021-02-01
447,2021-02-01
448,2021-02-01
449,2021-02-01
450,2021-02-01
451,2021-02-01
452,2021-02-01
453,2021-02-01
454,2021-02-01
455,2021-02-01
456,2021-02-01
457,2021-02-01
458,2021-02-01
459,2021-02-01
460,2021-02-01
461,2021-02-01
462,2021-02-01
463,2021-02-01
464,2021-02-01
465,2021-02-01
466,2021-02-01
467,2021-02-01
468,2021-02-01
469,2021-02-01
470,2021-02-01
471,2021-02-01
472,2021-02-01
473,2021-02-01
474,2021-02-01
475,2021-02-01
476,2021-02-01
477,2021-02-01
478,2021-02-01
479,2021-02-01
480,2021-02-01
481,2021-02-01
482,2021-02-01
483,2021-02-01
484,2021-02-01
485,2021-02-01
486,2021-02-01
487,2021-02-01
488,2021-01-31
489,2021-01-31
490,2021-01-31
491,2021-01-31
492,2021-01-31
493,2021-01-31
494,2021-01-31
495,2021-01-31
496,2021-01-31
497,2021-01-31
498,2021-01-31
499,2021-01-31
500,2021-01-31
501,2021-01-31
502,2021-01-31
503,2021-01-31
504,2021-01-31
505,2021-01-31
506,2021-01-31
507,2021-01-31
508,2021-01-31
509,2021-01-31
510,2021-01-31
511,2021-01-31
512,2021-01-31
513,2021-01-31
514,2021-01-31
515,2021-01-31
516,2021-01-31
517,2021-01-31
518,2021-01-31
519,2021-01-31
520,2021-01-31
521,2021-01-31
522,2021-01-31
523,2021-01-31
524,2021-01-31
525,2021-01-31
526,2021-01-31
527,2021-01-31
528,2021-01-31
529,2021-01-31
530,2021-01-31
531,2021-01-31
532,2021-01-31
533,2021-01-31
534,2021-01-31
535,2021-01-31
536,2021-01-31
537,2021-01-31
538,2021-01-31
539,2021-01-31
540,2021-01-31
541,2021-01-31
542,2021-01-31
543,2021-01-31
544,2021-01-31
545,2021-01-31
546,2021-01-31
547,2021-01-31
548,2021-01-31
549,2021-01-31
550,2021-01-31
551,2021-01-31
552,2021-01-31
553,2021-01-31
554,2021-01-31
555,2021-01-31
556,2021-01-31
557,2021-01-31
558,2021-01-31
559,2021-01-31
560,2021-01-31
561,2021-01-31
562,2021-01-31
563,2021-01-31
564,2021-01-31
565,2021-01-31
566,2021-01-31
567,2021-01-31
